Name,Street,City,StateZip,Bells
Alison at Blue Bell,721 Skippack Pike,Blue Bell, PA 19422,3
Amada,217 Chestnut St,Philadelphia, PA 19106,3
Ansill,627 S 3rd St,Philadelphia, PA 19147,3
Barclay Prime,237 S 18th St,Philadelphia, PA 19103,3
Birchrunville Store Cafe,1403 Hollow Rd,Birchrunville, PA 19421,3
Brasserie Perrier,1619 Walnut St,Philadelphia, PA 19103,3
Buddakan,325 Chestnut St,Philadelphia, PA 19106,3
The Capital Grille,1338 Chestnut St,Philadelphia, PA 19107,3
Carmine's Creole Cafe,818 W Lancaster Ave,Bryn Mawr, PA 19010,2
Cherry Street Chinese Kosher Vegetarian Restaurant,1010 Cherry St,Philadelphia, PA 19107,2
Devi,151 W Lincoln Hwy,Exton, PA 1934,2
Dilworthtown Inn,1390 Old Wilmington Pike,West Chester, PA 19382,3
Django,526 S 4th St,Philadelphia, PA 19147,2
Dmitri's,2227 Pine St,Philadelphia, PA 19103,2
El Vez,121 S 13th St,Philadelphia, PA 19107,2
Famous 4th Street Delicatessen,700 S 4th St,Philadelphia, PA 19147,2
Fork,306 Market St,Philadelphia, PA 19106,2
Fountain Restaurant,1 Logan Square,Philadelphia, PA 19103,4
Friday Saturday Sunday,261 S 21st St,Philadelphia, PA 19103,2
Gayle,617 S 3rd St,Philadelphia, PA 19147,3
Gilmore's,133 E Gay St,West Chester, PA 19380,3
Horizons,611 S 7th St,Philadelphia, PA 19147,3
Jake's,4365 Main St,Philadelphia, PA 19127,3
John's Roast Pork,14 E Snyder Ave,Philadelphia, PA 19148,3
Karma,114 Chestnut St,Philadelphia, PA 19106,2
Kristian's Ristorante,1100 Federal St,Philadelphia, PA 19147,2
Lakeside Chinese Deli,207 N 9th St,Philadelphia, PA 19107,2
La Lupe,1201 S 9th St,Philadelphia, PA 19147,2
L'Angolo,1415 W Porter St,Philadelphia, PA 19145,2
Le Bec-Fin,1523 Walnut St,Philadelphia, PA 19102,4
Lolita,106 S 13th St,Philadelphia, PA 19107,2
Los Catrines Restaurant & Tequila's Bar,1602 Locust St,Philadelphia, PA 19103,2
Majolica,258 Bridge St,Phoenixville, PA 19460,3
Margaret Kuo's,175 E Lancaster Ave,Wayne, PA 19087,3
Marigold Kitchen,501 S 45th St,Philadelphia, PA 19104,3
Marsha Brown,15 S Main St,New Hope, PA 18938,2
Matyson,37 S 19th St,Philadelphia, PA 19103,3
Melograno,2201 Spruce St,Philadelphia, PA 19103,3
Meritage Restaurant,500 S 20th St,Philadelphia, PA 19146,3
Monk's Cafe,264 S 16th St,Philadelphia, PA 19102,2
Morimoto,723 Chestnut St,Philadelphia, PA 19106,3
Moro,1307 N Scott St,Wilmington, DE 19806,3
Moshulu,401 S Columbus Blvd,Philadelphia, PA 19106,3
N. 3rd,801 N 3rd St,Philadelphia, PA 19123,2
Nam Phong,1100 Washington Ave,Philadelphia, PA 19147,2
Nan,4000 Chestnut St,Philadelphia, PA 19104,3
Nectar,1091 Lancaster Ave,Berwyn, PA 19312,3
Paradiso,1627 E Passyunk Ave,Philadelphia, PA 19148,2
Pasion!,211 S 15th St,Philadelphia, PA 19102,2
Penang,117 N 10th St,Philadelphia, PA 19107,2
Pif,1009 S 8th St,Philadelphia, PA 19147,3
Positano Coast by Aldo Lamberti,212 Walnut St,Philadelphia, PA 19106,2
Pumpkin,1713 South St,Philadelphia, PA 19146,2
Radicchio,N 4th St & Wood St,Philadelphia, PA 19106,2
Rembrandt's,741 N 23rd St,Philadelphia, PA 19130,2
Restaurant Alba,7 W King St,Malvern, PA 19355,2
Ritz Seafood,910 Haddonfield Berlin Rd,Voorhees, NJ 08043,2
Rouge,205 S 18th St,Philadelphia, PA 19103,2
Sabrina's Cafe,910 Christian St,Philadelphia, PA 19147,2
Sang Kee Asian Bistro,339 E Lancaster Ave,Wynnewood, PA 19096,2
Sansom Street Oyster House,1516 Sansom St,Philadelphia, PA 19102,2
Savona,100 Old Gulph Rd,Gulph Mills, PA 19428,3
Siam Lotus,931 Spring Garden St,Philadelphia, PA 19123,2
Southwark,701 S 4th St,Philadelphia, PA 19147,3
Sovalo,702 N 2nd St,Philadelphia, PA 19123,3
Sovana Bistro,696 Unionville Rd,Kennett Square, PA 19348,3
Standard Tap,901 N 2nd St,Philadelphia, PA 19123,3
Striped Bass,1500 Walnut St,Philadelphia, PA 19102,4
Susanna Foo,1512 Walnut St,Philadelphia, PA 19102,4
Sweet Lucy's Smokehouse,7500 State Rd,Philadelphia, PA 19136,2
Szechuan Tasty House,902 Arch St,Philadelphia, PA 19107,2
Tangerine,232 Market St,Philadelphia, PA 19106,3
Tierra Colombiana,4535 N 5th St,Philadelphia, PA 19140,2
Vetri,1312 Spruce St,Philadelphia, PA 19107,4
Vietnam,221 N 11th St,Philadelphia, PA 19107,2
Villa di Roma,936 S 9th St,Philadelphia, PA 19147,2
XIX Nineteen,Walnut St & S Broad St,Philadelphia, PA,3
